Belegnummer,Belegdatum,FilialeID,ProduktID,KundeID,Menge,Rabatt
B100037,2025-01-09,F2,P14,K0063,2,0.05
B100038,2025-01-09,F2,P12,K0054,2,0.1
B100039,2025-01-09,F2,P11,K0071,3,0.08
B100040,2025-01-09,F3,P08,K0106,1,0.0
B100041,2025-01-09,F3,P17,K0084,1,0.05
B100042,2025-01-10,F1,P06,K0028,1,0.0
B100043,2025-01-10,F1,P11,K0036,2,0.03
B100044,2025-01-10,F3,P17,K0124,1,0.1
B100045,2025-01-10,F3,P09,K0096,1,0.05
B100046,2025-01-10,F3,P16,K0132,1,0.1
B100047,2025-01-10,F3,P17,K0110,1,0.1
B100048,2025-01-11,F1,P16,K0019,1,0.05
B100049,2025-01-11,F1,P10,K0045,1,0.05
B100050,2025-01-11,F2,P08,K0063,1,0.0
B100051,2025-01-11,F3,P18,K0102,1,0.03
B100052,2025-01-11,F3,P18,K0102,1,0.0
B100053,2025-01-11,F3,P18,K0101,1,0.0
B100054,2025-01-13,F2,P17,K0067,1,0.0
B100055,2025-01-14,F1,P18,K0026,1,0.1
B100056,2025-01-14,F3,P09,K0100,2,0.05
B100057,2025-01-15,F1,P09,K0039,3,0.05
B100058,2025-01-15,F1,P08,K0044,3,0.0
B100059,2025-01-15,F2,P14,K0046,1,0.05
B100060,2025-01-15,F2,P17,K0078,1,0.0
B100061,2025-01-16,F2,P03,K0058,1,0.0
B100062,2025-01-16,F3,P07,K0115,1,0.0
B100063,2025-01-16,F3,P03,K0085,1,0.0
B100064,2025-01-16,F4,P13,K0145,1,0.05
B100065,2025-01-17,F1,P01,K0037,1,0.05
B100066,2025-01-17,F4,P02,K0138,1,0.03
B100067,2025-01-18,F1,P09,K0140,3,0.05
B100068,2025-01-18,F1,P11,K0024,3,0.05
B100069,2025-01-18,F2,P15,K0056,1,0.03
B100070,2025-01-18,F3,P11,K0118,2,0.03
B100071,2025-01-18,F3,P02,K0110,1,0.0
B100072,2025-01-18,F4,P12,K0156,3,0.0
B100073,2025-01-20,F2,P16,K0077,1,0.1
B100074,2025-01-20,F3,P08,K0130,3,0.05
B100075,2025-01-20,F3,P08,K0093,1,0.1
B100076,2025-01-20,F3,P11,K0060,3,0.1
B100077,2025-01-20,F4,P18,K0159,1,0.08
B100078,2025-01-21,F1,P16,K0043,1,0.0
B100079,2025-01-21,F1,P07,K0042,1,0.05
B100080,2025-01-21,F3,P14,K0105,2,0.0
B100081,2025-01-21,F3,P17,K0091,1,0.05
B100082,2025-01-21,F3,P10,K0119,3,0.0
B100083,2025-01-21,F3,P10,K0093,2,0.03
B100084,2025-01-22,F1,P14,K0004,1,0.05
B100085,2025-01-23,F1,P09,K0033,2,0.05
B100086,2025-01-23,F3,P09,K0108,2,0.0
B100087,2025-01-23,F4,P01,K0135,1,0.0
B100088,2025-01-23,F4,P03,K0154,1,0.1
B100089,2025-01-24,F1,P11,K0018,3,0.0
B100090,2025-01-24,F1,P13,K0011,2,0.0
B100091,2025-01-24,F1,P18,K0027,1,0.05
B100092,2025-01-24,F2,P17,K0081,1,0.0
B100093,2025-01-24,F3,P04,K0119,1,0.05
B100094,2025-01-24,F3,P17,K0108,1,0.0
B100095,2025-01-24,F4,P11,K0155,1,0.05
B100096,2025-01-25,F1,P05,K0039,1,0.05
B100097,2025-01-27,F1,P01,K0041,1,0.03
B100098,2025-01-27,F1,P17,K0042,1,0.1
B100099,2025-01-27,F1,P14,K0009,2,0.1
B100100,2025-01-27,F2,P12,K0040,2,0.1
B100101,2025-01-27,F3,P15,K0090,2,0.1
B100102,2025-01-27,F3,P16,K0132,1,0.0
B100103,2025-01-27,F4,P16,K0154,1,0.1
B100104,2025-01-27,F4,P02,K0138,1,0.1
B100105,2025-01-28,F1,P06,K0044,1,0.05
B100106,2025-01-28,F1,P11,K0035,1,0.03
B100107,2025-01-28,F2,P12,K0076,3,0.0
B100108,2025-01-28,F3,P06,K0127,1,0.0
B100109,2025-01-29,F1,P18,K0025,1,0.0
B100110,2025-01-29,F2,P16,K0064,1,0.0
B100111,2025-01-29,F3,P01,K0130,1,0.1
B100112,2025-01-30,F1,P10,K0007,3,0.05
B100113,2025-01-30,F2,P08,K0126,3,0.05
B100114,2025-01-30,F4,P11,K0149,3,0.1
B100115,2025-01-31,F2,P18,K0056,1,0.0
B100116,2025-01-31,F3,P02,K0127,1,0.1
B100117,2025-01-31,F3,P18,K0109,1,0.0
B100118,2025-01-31,F3,P13,K0090,2,0.08
B100119,2025-02-01,F1,P14,K0023,2,0.1
B100120,2025-02-01,F1,P17,K0045,1,0.05
B100121,2025-02-01,F1,P01,K0023,1,0.0
B100122,2025-02-01,F2,P18,K0061,1,0.0
B100123,2025-02-01,F2,P03,K0054,1,0.1
B100124,2025-02-01,F2,P02,K0073,1,0.0
B100125,2025-02-01,F4,P15,K0139,2,0.1
B100126,2025-02-03,F1,P05,K0017,1,0.05
B100127,2025-02-03,F2,P14,K0080,1,0.0
B100128,2025-02-03,F2,P09,K0082,3,0.05
B100129,2025-02-03,F2,P13,K0061,1,0.1
B100130,2025-02-03,F3,P05,K0105,1,0.03
B100131,2025-02-03,F3,P17,K0095,1,0.0
B100132,2025-02-04,F1,P16,K0001,1,0.1
B100133,2025-02-04,F3,P12,K0101,1,0.03
B100134,2025-02-05,F1,P13,K0043,1,0.0
B100135,2025-02-05,F1,P05,K0018,1,0.03
B100136,2025-02-05,F2,P18,K0066,1,0.1
B100137,2025-02-06,F1,P05,K0038,1,0.1
B100138,2025-02-06,F1,P09,K0030,1,0.03
B100139,2025-02-06,F1,P11,K0033,1,0.03
B100140,2025-02-06,F2,P18,K0049,1,0.05
B100141,2025-02-06,F3,P17,K0089,1,0.05
B100142,2025-02-06,F4,P11,K0143,3,0.0
B100143,2025-02-07,F1,P01,K0010,1,0.03
B100144,2025-02-07,F1,P11,K0021,3,0.1
B100145,2025-02-07,F1,P16,K0135,1,0.0
B100146,2025-02-07,F1,P05,K0004,1,0.05
B100147,2025-02-07,F3,P09,K0101,1,0.0
B100148,2025-02-07,F3,P09,K0115,1,0.0
B100149,2025-02-08,F1,P09,K0034,1,0.08
B100150,2025-02-08,F2,P08,K0057,3,0.03
B100151,2025-02-08,F3,P16,K0118,1,0.0
B100152,2025-02-08,F3,P02,K0086,1,0.05
B100153,2025-02-10,F1,P10,K0031,3,0.03
B100154,2025-02-10,F3,P18,K0103,1,0.0
B100155,2025-02-10,F4,P09,K0082,1,0.0
B100156,2025-02-11,F2,P12,K0048,3,0.0
B100157,2025-02-11,F2,P11,K0053,1,0.0
B100158,2025-02-11,F3,P18,K0108,1,0.1
B100159,2025-02-11,F3,P06,K0099,1,0.03
B100160,2025-02-11,F3,P09,K0087,1,0.1
B100161,2025-02-11,F4,P04,K0007,1,0.05
B100162,2025-02-12,F1,P15,K0018,2,0.0
B100163,2025-02-12,F1,P09,K0042,3,0.05
B100164,2025-02-12,F2,P06,K0076,1,0.05
B100165,2025-02-12,F3,P11,K0091,1,0.0
B100166,2025-02-13,F1,P09,K0013,1,0.03
B100167,2025-02-13,F2,P16,K0076,1,0.1
B100168,2025-02-13,F3,P17,K0121,1,0.05
B100169,2025-02-13,F3,P11,K0112,3,0.1
B100170,2025-02-13,F3,P16,K0148,1,0.03
B100171,2025-02-13,F4,P18,K0149,1,0.05
B100172,2025-02-13,F4,P09,K0144,1,0.0
B100173,2025-02-13,F4,P08,K0147,1,0.0
B100174,2025-02-14,F1,P16,K0004,1,0.03
B100175,2025-02-14,F1,P18,K0035,1,0.0
B100176,2025-02-14,F2,P13,K0077,2,0.1
B100177,2025-02-14,F2,P02,K0069,1,0.05
B100178,2025-02-14,F3,P18,K0103,1,0.0
B100179,2025-02-14,F3,P08,K0100,2,0.1
B100180,2025-02-14,F4,P01,K0138,1,0.03
B100181,2025-02-14,F4,P04,K0139,1,0.05
B100182,2025-02-15,F1,P18,K0002,1,0.05
B100183,2025-02-15,F2,P11,K0047,3,0.0
B100184,2025-02-15,F3,P16,K0119,1,0.03
B100185,2025-02-15,F3,P10,K0118,3,0.0
B100186,2025-02-15,F3,P12,K0095,3,0.0
B100187,2025-02-15,F4,P05,K0030,1,0.05
B100188,2025-02-15,F4,P18,K0146,1,0.05
B100189,2025-02-17,F1,P07,K0018,1,0.1
B100190,2025-02-17,F1,P11,K0034,3,0.05
B100191,2025-02-17,F3,P11,K0093,3,0.05
B100192,2025-02-18,F1,P06,K0040,1,0.05
B100193,2025-02-18,F2,P18,K0077,1,0.0
B100194,2025-02-18,F2,P03,K0069,1,0.1
B100195,2025-02-18,F3,P18,K0119,1,0.03
B100196,2025-02-18,F3,P02,K0120,1,0.03
B100197,2025-02-18,F3,P16,K0117,1,0.0
B100198,2025-02-18,F3,P09,K0094,1,0.05
B100199,2025-02-19,F1,P11,K0001,3,0.05
B100200,2025-02-19,F4,P18,K0154,1,0.05
B100201,2025-02-20,F1,P06,K0040,1,0.08
B100202,2025-02-20,F2,P12,K0074,2,0.1
B100203,2025-02-20,F3,P01,K0110,1,0.05
B100204,2025-02-20,F3,P12,K0115,3,0.0
B100205,2025-02-20,F3,P08,K0104,1,0.08
B100206,2025-02-20,F3,P01,K0123,1,0.1
B100207,2025-02-21,F2,P16,K0036,1,0.0
B100208,2025-02-21,F3,P12,K0125,3,0.0
B100209,2025-02-21,F3,P12,K0098,3,0.0
B100210,2025-02-21,F3,P15,K0114,1,0.0
B100211,2025-02-21,F4,P12,K0144,1,0.0
B100212,2025-02-22,F1,P13,K0045,1,0.0
B100213,2025-02-22,F2,P18,K0082,1,0.05
B100214,2025-02-22,F2,P08,K0064,1,0.05
B100215,2025-02-22,F3,P18,K0094,1,0.03
B100216,2025-02-22,F3,P06,K0106,1,0.0
B100217,2025-02-24,F2,P01,K0069,1,0.05
B100218,2025-02-25,F1,P12,K0002,3,0.05
B100219,2025-02-25,F1,P10,K0003,3,0.0
B100220,2025-02-25,F1,P16,K0039,1,0.05
B100221,2025-02-25,F2,P08,K0060,2,0.0
B100222,2025-02-25,F2,P04,K0046,1,0.08
B100223,2025-02-25,F3,P01,K0109,1,0.05
B100224,2025-02-26,F1,P16,K0023,1,0.03
B100225,2025-02-26,F1,P12,K0001,2,0.03
B100226,2025-02-26,F1,P16,K0008,1,0.05
B100227,2025-02-26,F4,P08,K0144,3,0.1
B100228,2025-02-26,F4,P15,K0154,2,0.1
B100229,2025-02-27,F1,P10,K0010,2,0.0
B100230,2025-02-27,F1,P15,K0014,1,0.0
B100231,2025-02-27,F1,P16,K0018,1,0.05
B100232,2025-02-27,F3,P11,K0132,3,0.0
B100233,2025-02-27,F3,P08,K0097,3,0.1
B100234,2025-02-27,F3,P15,K0103,2,0.1
B100235,2025-02-28,F1,P12,K0022,2,0.05
B100236,2025-02-28,F1,P18,K0031,1,0.03
B100237,2025-02-28,F2,P11,K0055,3,0.05
B100238,2025-02-28,F2,P09,K0072,3,0.1
B100239,2025-02-28,F3,P15,K0098,1,0.1
B100240,2025-03-01,F1,P11,K0005,3,0.03
B100241,2025-03-01,F1,P02,K0030,1,0.03
B100242,2025-03-01,F1,P08,K0013,1,0.0
B100243,2025-03-01,F1,P18,K0027,1,0.0
B100244,2025-03-01,F2,P16,K0066,1,0.05
B100245,2025-03-01,F2,P10,K0076,3,0.1
B100246,2025-03-01,F3,P02,K0097,1,0.1
B100247,2025-03-01,F3,P01,K0125,1,0.03
B100248,2025-03-01,F3,P11,K0090,3,0.08
B100249,2025-03-01,F3,P02,K0092,1,0.03
B100250,2025-03-01,F4,P16,K0143,1,0.0
B100251,2025-03-01,F4,P08,K0135,1,0.05
B100252,2025-03-03,F1,P06,K0014,1,0.05
B100253,2025-03-03,F1,P12,K0017,2,0.0
B100254,2025-03-03,F2,P12,K0053,3,0.03
B100255,2025-03-03,F2,P18,K0070,1,0.05
B100256,2025-03-03,F2,P08,K0071,1,0.1
B100257,2025-03-03,F3,P01,K0123,1,0.05
B100258,2025-03-03,F3,P02,K0094,1,0.0
B100259,2025-03-04,F1,P04,K0022,1,0.1
B100260,2025-03-04,F1,P09,K0013,3,0.03
B100261,2025-03-04,F2,P12,K0057,2,0.1
B100262,2025-03-04,F2,P06,K0069,1,0.03
B100263,2025-03-04,F3,P18,K0091,1,0.03
B100264,2025-03-04,F4,P09,K0145,1,0.1
B100265,2025-03-05,F1,P09,K0042,3,0.1
B100266,2025-03-05,F1,P17,K0040,1,0.08
B100267,2025-03-05,F1,P09,K0039,3,0.1
B100268,2025-03-05,F1,P18,K0001,1,0.0
B100269,2025-03-05,F2,P16,K0067,1,0.05
B100270,2025-03-05,F3,P12,K0124,3,0.05
B100271,2025-03-05,F3,P09,K0096,1,0.0
B100272,2025-03-05,F4,P11,K0151,3,0.05
B100273,2025-03-05,F4,P16,K0073,1,0.0
B100274,2025-03-05,F4,P09,K0157,1,0.03
B100275,2025-03-06,F1,P11,K0037,2,0.0
B100276,2025-03-06,F2,P08,K0076,2,0.03
B100277,2025-03-06,F2,P02,K0057,1,0.0
B100278,2025-03-06,F2,P13,K0055,2,0.05
B100279,2025-03-06,F3,P15,K0121,2,0.1
B100280,2025-03-06,F4,P10,K0140,1,0.05
B100281,2025-03-06,F4,P17,K0154,1,0.1
B100282,2025-03-07,F1,P15,K0037,2,0.0
B100283,2025-03-07,F2,P12,K0057,2,0.05
B100284,2025-03-07,F3,P13,K0111,1,0.05
B100285,2025-03-07,F3,P18,K0131,1,0.05
B100286,2025-03-07,F4,P12,K0155,3,0.0
B100287,2025-03-08,F1,P09,K0013,2,0.0
B100288,2025-03-08,F1,P03,K0020,1,0.0
B100289,2025-03-08,F1,P14,K0024,1,0.0
B100290,2025-03-08,F2,P05,K0081,1,0.1
B100291,2025-03-08,F2,P09,K0049,2,0.0
B100292,2025-03-08,F2,P12,K0077,1,0.05
B100293,2025-03-08,F3,P09,K0129,1,0.1
B100294,2025-03-08,F3,P02,K0099,1,0.0
B100295,2025-03-08,F3,P01,K0091,1,0.1
B100296,2025-03-08,F4,P17,K0158,1,0.0
B100297,2025-03-08,F4,P09,K0161,1,0.03
B100298,2025-03-10,F1,P15,K0012,1,0.05
B100299,2025-03-10,F2,P15,K0057,1,0.0
B100300,2025-03-10,F3,P18,K0131,1,0.0
B100301,2025-03-10,F3,P08,K0104,3,0.05
B100302,2025-03-11,F1,P07,K0007,1,0.1
B100303,2025-03-11,F1,P05,K0039,1,0.05
B100304,2025-03-11,F1,P15,K0015,2,0.0
B100305,2025-03-11,F1,P18,K0003,1,0.05
B100306,2025-03-11,F1,P02,K0010,1,0.0
B100307,2025-03-11,F1,P18,K0002,1,0.1
B100308,2025-03-11,F1,P14,K0043,2,0.0
B100309,2025-03-11,F2,P02,K0055,1,0.0
B100310,2025-03-11,F2,P14,K0049,2,0.05
B100311,2025-03-11,F3,P10,K0112,3,0.05
B100312,2025-03-11,F3,P01,K0126,1,0.05
B100313,2025-03-11,F3,P06,K0099,1,0.05
B100314,2025-03-11,F3,P02,K0126,1,0.0
B100315,2025-03-11,F4,P08,K0136,1,0.0
B100316,2025-03-11,F4,P02,K0143,1,0.0
B100317,2025-03-12,F1,P18,K0027,1,0.03
B100318,2025-03-12,F1,P11,K0042,1,0.1
B100319,2025-03-12,F1,P11,K0045,2,0.03
B100320,2025-03-12,F2,P11,K0080,1,0.05
B100321,2025-03-12,F2,P18,K0072,1,0.0
B100322,2025-03-12,F3,P12,K0091,3,0.1
B100323,2025-03-12,F4,P05,K0136,1,0.05
B100324,2025-03-12,F4,P12,K0154,1,0.1
B100325,2025-03-12,F4,P11,K0142,3,0.1
B100326,2025-03-12,F4,P14,K0156,2,0.1
B100327,2025-03-13,F1,P16,K0010,1,0.05
B100328,2025-03-13,F1,P06,K0019,1,0.0
B100329,2025-03-13,F1,P04,K0147,1,0.03
B100330,2025-03-13,F2,P01,K0046,1,0.08
B100331,2025-03-13,F2,P15,K0049,1,0.0
B100332,2025-03-13,F3,P11,K0099,3,0.05
B100333,2025-03-13,F3,P17,K0084,1,0.05
B100334,2025-03-13,F3,P02,K0105,1,0.0
B100335,2025-03-13,F3,P13,K0132,1,0.05
B100336,2025-03-14,F1,P11,K0002,2,0.0
B100337,2025-03-14,F2,P16,K0137,1,0.05
B100338,2025-03-14,F2,P12,K0062,3,0.0
B100339,2025-03-14,F2,P08,K0053,2,0.0
B100340,2025-03-14,F3,P02,K0124,1,0.1
B100341,2025-03-14,F3,P17,K0108,1,0.0
B100342,2025-03-14,F3,P08,K0088,3,0.03
B100343,2025-03-14,F4,P17,K0143,1,0.05
B100344,2025-03-14,F4,P13,K0141,2,0.0
B100345,2025-03-15,F1,P02,K0043,1,0.0
B100346,2025-03-15,F3,P11,K0129,2,0.05
B100347,2025-03-15,F3,P05,K0154,1,0.08
B100348,2025-03-15,F3,P09,K0125,1,0.05
B100349,2025-03-15,F3,P12,K0109,2,0.0
B100350,2025-03-15,F3,P08,K0098,2,0.0
B100351,2025-03-15,F3,P11,K0131,1,0.03
B100352,2025-03-15,F3,P10,K0117,1,0.0
B100353,2025-03-15,F4,P14,K0153,1,0.1
B100354,2025-03-15,F4,P06,K0161,1,0.05
B100355,2025-03-17,F1,P05,K0040,1,0.1
B100356,2025-03-17,F1,P02,K0026,1,0.05
B100357,2025-03-17,F3,P11,K0093,1,0.0
B100358,2025-03-17,F3,P12,K0120,2,0.05
B100359,2025-03-18,F1,P11,K0005,3,0.05
B100360,2025-03-18,F1,P06,K0117,1,0.0
B100361,2025-03-18,F2,P12,K0055,2,0.03
B100362,2025-03-18,F2,P10,K0076,2,0.0
B100363,2025-03-18,F2,P06,K0064,1,0.05
B100364,2025-03-18,F3,P10,K0119,1,0.0
B100365,2025-03-18,F3,P01,K0108,1,0.03
B100366,2025-03-18,F3,P11,K0117,1,0.0
B100367,2025-03-18,F4,P09,K0152,3,0.05
B100368,2025-03-18,F4,P18,K0158,1,0.0
B100369,2025-03-19,F1,P11,K0030,2,0.05
B100370,2025-03-19,F1,P18,K0045,1,0.1
B100371,2025-03-19,F1,P01,K0015,1,0.05
B100372,2025-03-19,F1,P10,K0005,1,0.0
B100373,2025-03-19,F3,P09,K0122,1,0.0
B100374,2025-03-19,F3,P18,K0130,1,0.0
B100375,2025-03-19,F3,P13,K0130,2,0.1
B100376,2025-03-19,F3,P17,K0086,1,0.0
B100377,2025-03-19,F4,P09,K0159,3,0.1
B100378,2025-03-19,F4,P17,K0148,1,0.05
B100379,2025-03-20,F1,P11,K0088,2,0.0
B100380,2025-03-20,F2,P09,K0055,3,0.03
B100381,2025-03-20,F2,P08,K0027,1,0.05
B100382,2025-03-20,F3,P11,K0132,3,0.0
B100383,2025-03-20,F4,P15,K0161,2,0.03
B100384,2025-03-21,F1,P11,K0027,2,0.03
B100385,2025-03-21,F1,P12,K0024,3,0.0
B100386,2025-03-21,F2,P02,K0080,1,0.05
B100387,2025-03-21,F2,P01,K0061,1,0.05
B100388,2025-03-21,F3,P02,K0111,1,0.1
B100389,2025-03-21,F3,P18,K0131,1,0.0
B100390,2025-03-21,F3,P15,K0096,2,0.0
B100391,2025-03-21,F3,P06,K0092,1,0.1
B100392,2025-03-21,F4,P16,K0151,1,0.1
B100393,2025-03-22,F1,P08,K0036,2,0.1
B100394,2025-03-22,F1,P14,K0026,1,0.05
B100395,2025-03-22,F1,P14,K0011,1,0.1
B100396,2025-03-22,F2,P02,K0012,1,0.08
B100397,2025-03-22,F2,P13,K0073,1,0.0
B100398,2025-03-22,F3,P13,K0102,2,0.05
B100399,2025-03-22,F3,P06,K0102,1,0.1
B100400,2025-03-22,F3,P08,K0099,2,0.05
B100401,2025-03-22,F4,P18,K0145,1,0.0
B100402,2025-03-22,F4,P08,K0153,2,0.1
B100403,2025-03-22,F4,P18,K0159,1,0.1
B100404,2025-03-24,F1,P08,K0045,3,0.05
B100405,2025-03-24,F1,P08,K0031,2,0.05
B100406,2025-03-24,F2,P05,K0075,1,0.1
B100407,2025-03-24,F2,P07,K0047,1,0.1
B100408,2025-03-24,F2,P15,K0081,1,0.05
B100409,2025-03-24,F3,P04,K0101,1,0.0
B100410,2025-03-24,F3,P09,K0099,3,0.03
B100411,2025-03-24,F3,P12,K0145,1,0.1
B100412,2025-03-24,F4,P02,K0155,1,0.0
B100413,2025-03-25,F1,P18,K0050,1,0.03
B100414,2025-03-25,F1,P09,K0032,1,0.05
B100415,2025-03-25,F1,P11,K0023,1,0.05
B100416,2025-03-25,F2,P11,K0058,1,0.05
B100417,2025-03-25,F2,P08,K0049,1,0.03
B100418,2025-03-25,F2,P10,K0067,1,0.0
B100419,2025-03-25,F2,P13,K0046,2,0.1
B100420,2025-03-25,F3,P12,K0126,2,0.0
B100421,2025-03-25,F3,P08,K0118,1,0.0
B100422,2025-03-25,F3,P16,K0114,1,0.05
B100423,2025-03-25,F4,P11,K0143,2,0.03
B100424,2025-03-25,F4,P18,K0141,1,0.03
B100425,2025-03-25,F4,P12,K0143,1,0.05
B100426,2025-03-25,F4,P17,K0142,1,0.1
B100427,2025-03-26,F1,P09,K0033,3,0.0
B100428,2025-03-26,F1,P15,K0022,2,0.1
B100429,2025-03-26,F2,P08,K0054,3,0.05
B100430,2025-03-26,F3,P02,K0088,1,0.05
B100431,2025-03-27,F1,P08,K0028,2,0.0
B100432,2025-03-27,F2,P17,K0095,1,0.03
B100433,2025-03-27,F2,P18,K0068,1,0.0
B100434,2025-03-27,F3,P18,K0103,1,0.0
B100435,2025-03-27,F3,P16,K0115,1,0.0
B100436,2025-03-27,F3,P09,K0119,2,0.05
B100437,2025-03-27,F3,P09,K0116,3,0.08
B100438,2025-03-27,F3,P08,K0112,3,0.05
B100439,2025-03-27,F4,P09,K0155,2,0.0
B100440,2025-03-28,F1,P11,K0008,2,0.0
B100441,2025-03-28,F1,P09,K0020,1,0.05
B100442,2025-03-28,F1,P16,K0044,1,0.0
B100443,2025-03-28,F2,P10,K0062,1,0.05
B100444,2025-03-28,F2,P18,K0055,1,0.0
B100445,2025-03-28,F2,P01,K0055,1,0.0
B100446,2025-03-28,F3,P17,K0094,1,0.05
B100447,2025-03-28,F3,P08,K0098,1,0.0
B100448,2025-03-28,F3,P12,K0112,2,0.1
B100449,2025-03-28,F4,P02,K0136,1,0.05
B100450,2025-03-29,F1,P11,K0025,2,0.03
B100451,2025-03-29,F1,P16,K0038,1,0.03
B100452,2025-03-29,F1,P11,K0015,3,0.05
B100453,2025-03-29,F2,P01,K0046,1,0.1
B100454,2025-03-29,F2,P04,K0070,1,0.1
B100455,2025-03-29,F2,P16,K0067,1,0.0
B100456,2025-03-29,F3,P05,K0088,1,0.0
B100457,2025-03-29,F3,P16,K0122,1,0.03
B100458,2025-03-29,F4,P12,K0154,2,0.05
B100459,2025-03-31,F1,P18,K0139,1,0.1
B100460,2025-03-31,F1,P06,K0039,1,0.1
B100461,2025-03-31,F3,P18,K0095,1,0.0
B100462,2025-03-31,F3,P02,K0085,1,0.05
B100463,2025-03-31,F3,P11,K0133,2,0.0
B100464,2025-03-31,F3,P18,K0124,1,0.05
B100465,2025-03-31,F4,P18,K0154,1,0.08
B100466,2025-03-31,F4,P06,K0161,1,0.05
B100467,2025-04-01,F1,P09,K0034,2,0.1
B100468,2025-04-01,F1,P02,K0013,1,0.0
B100469,2025-04-01,F1,P07,K0012,1,0.08
B100470,2025-04-01,F1,P15,K0037,1,0.05
B100471,2025-04-01,F1,P16,K0038,1,0.0
B100472,2025-04-01,F1,P01,K0011,1,0.03
B100473,2025-04-01,F1,P11,K0036,2,0.0
B100474,2025-04-01,F1,P01,K0042,1,0.08
B100475,2025-04-01,F2,P01,K0047,1,0.05
B100476,2025-04-01,F2,P11,K0066,3,0.0
B100477,2025-04-01,F2,P09,K0058,2,0.0
B100478,2025-04-01,F3,P17,K0043,1,0.0
B100479,2025-04-01,F4,P08,K0149,2,0.1
B100480,2025-04-01,F4,P04,K0098,1,0.1
B100481,2025-04-02,F1,P15,K0006,1,0.05
B100482,2025-04-02,F1,P16,K0029,1,0.05
B100483,2025-04-02,F1,P15,K0041,1,0.0
B100484,2025-04-02,F1,P01,K0027,1,0.0
B100485,2025-04-02,F2,P09,K0047,3,0.05
B100486,2025-04-02,F2,P12,K0061,2,0.0
B100487,2025-04-02,F3,P14,K0096,1,0.05
B100488,2025-04-02,F3,P01,K0104,1,0.1
B100489,2025-04-02,F3,P17,K0101,1,0.0
B100490,2025-04-02,F3,P06,K0088,1,0.05
B100491,2025-04-02,F4,P06,K0150,1,0.0
B100492,2025-04-03,F1,P09,K0035,1,0.0
B100493,2025-04-03,F1,P16,K0002,1,0.0
B100494,2025-04-03,F1,P18,K0017,1,0.0
B100495,2025-04-03,F1,P08,K0033,1,0.0
B100496,2025-04-03,F2,P03,K0066,1,0.0
B100497,2025-04-03,F2,P04,K0075,1,0.1
B100498,2025-04-03,F3,P14,K0101,2,0.05
B100499,2025-04-03,F3,P17,K0098,1,0.05
B100500,2025-04-03,F3,P17,K0094,1,0.0
B100501,2025-04-03,F3,P09,K0086,2,0.0
B100502,2025-04-03,F3,P02,K0103,1,0.05
B100503,2025-04-03,F3,P13,K0099,1,0.05
B100504,2025-04-03,F4,P08,K0150,1,0.1
B100505,2025-04-04,F1,P09,K0039,1,0.1
B100506,2025-04-04,F1,P12,K0021,3,0.05
B100507,2025-04-04,F1,P01,K0015,1,0.05
B100508,2025-04-04,F2,P17,K0068,1,0.03
B100509,2025-04-04,F3,P04,K0088,1,0.05
B100510,2025-04-04,F3,P10,K0122,3,0.05
B100511,2025-04-04,F3,P09,K0111,2,0.0
B100512,2025-04-04,F3,P09,K0100,3,0.1
B100513,2025-04-04,F3,P10,K0156,3,0.0
B100514,2025-04-04,F4,P09,K0135,2,0.03
B100515,2025-04-05,F1,P16,K0004,1,0.03
