Bahnhof;Stadt;Bundesland;Größenklasse;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
Hannover Hauptbahnhof;Hannover;Niedersachsen;A · Metropolknoten (ab 200.000/Tag);7508606;7025678;8215708;7920537;8343689;7991135;7879543;7527297;7945251;8461279;8049644;8396633
Heidelberg Hauptbahnhof;Heidelberg;Baden-Württemberg;C · Regionalbahnhof (unter 50.000/Tag);1183431;1134669;1316932;1250051;1341586;1267586;1299900;1233733;1300125;1356798;1300877;1344312
Heilbronn Hauptbahnhof;Heilbronn;Baden-Württemberg;C · Regionalbahnhof (unter 50.000/Tag);392437;377476;440173;420628;448617;434896;422804;411095;433283;446073;428496;454022
Herford;Herford;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);343232;328853;371146;364613;385796;372927;366687;348701;369574;381156;366156;381159
Hildesheim Hauptbahnhof;Hildesheim;Niedersachsen;C · Regionalbahnhof (unter 50.000/Tag);880727;824704;943379;936443;962191;923949;934764;899344;928064;975949;943411;979575
Ingolstadt Hauptbahnhof;Ingolstadt;Bayern;C · Regionalbahnhof (unter 50.000/Tag);353594;337418;388237;372972;403998;384965;385617;370670;385463;397854;377257;404455
Kaiserslautern Hauptbahnhof;Kaiserslautern;Rheinland-Pfalz;C · Regionalbahnhof (unter 50.000/Tag);679972;661157;751911;713189;778608;740527;731741;703089;740229;762413;723671;773493
Karlsruhe Hauptbahnhof;Karlsruhe;Baden-Württemberg;B · Großstadtbahnhof (50.000–199.999/Tag);2092431;1923259;2268459;2216162;2268856;2213742;2240390;2082392;2191372;2299458;2176302;2307177
Kassel Hauptbahnhof;Kassel;Hessen;C · Regionalbahnhof (unter 50.000/Tag);346392;323072;376093;367219;380199;377445;362464;344630;363429;388033;364101;386923
Kassel-Wilhelmshöhe;Kassel;Hessen;C · Regionalbahnhof (unter 50.000/Tag);864415;808295;912268;913550;959263;908054;919186;877230;925014;964279;925829;972617
Kiel Hauptbahnhof;Kiel;Schleswig-Holstein;C · Regionalbahnhof (unter 50.000/Tag);1039336;993864;1155040;1124218;1161804;1151838;1145469;1060429;1152893;1196510;1141009;1182590
Koblenz Hauptbahnhof;Koblenz;Rheinland-Pfalz;C · Regionalbahnhof (unter 50.000/Tag);798705;766255;867836;854563;880782;864140;860100;833828;868323;891711;854197;879560
Köln Hauptbahnhof;Köln;Nordrhein-Westfalen;A · Metropolknoten (ab 200.000/Tag);9055177;8701704;9746642;9664849;10247435;9834592;9721364;9379750;9942209;9982030;9677194;10117054
Köln Messe/Deutz;Köln;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);1969867;1894587;2150488;2135628;2259585;2158482;2167663;2008573;2182269;2231102;2153217;2238539
Leipzig Hauptbahnhof;Leipzig;Sachsen;B · Großstadtbahnhof (50.000–199.999/Tag);3895067;3663648;4220347;4123356;4326339;4126904;4128010;3912744;4234720;4222563;4203065;4218237
Lübeck Hauptbahnhof;Lübeck;Schleswig-Holstein;C · Regionalbahnhof (unter 50.000/Tag);959879;944802;1058478;1021627;1084082;1055645;1046606;982364;1051545;1082107;1035791;1087074
Ludwigshafen (Rhein) Hauptbahnhof;Ludwigshafen am Rhein;Rheinland-Pfalz;C · Regionalbahnhof (unter 50.000/Tag);451414;429718;493283;490702;506159;501540;497183;470469;502067;503343;485157;508965
Magdeburg Hauptbahnhof;Magdeburg;Sachsen-Anhalt;C · Regionalbahnhof (unter 50.000/Tag);905135;877709;975943;980280;1032037;998146;985047;938795;975983;1036042;957247;1017636
Mainz Hauptbahnhof;Mainz;Rheinland-Pfalz;B · Großstadtbahnhof (50.000–199.999/Tag);2146406;2014505;2334320;2254968;2438432;2360092;2269985;2144812;2344476;2379197;2333070;2354737
Mannheim Hauptbahnhof;Mannheim;Baden-Württemberg;B · Großstadtbahnhof (50.000–199.999/Tag);3319607;3170534;3752312;3532739;3738071;3730975;3639331;3396801;3615987;3820469;3613690;3739484
Mönchengladbach Hauptbahnhof;Mönchengladbach;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);338192;325372;368018;370572;377654;367382;366926;343122;370346;389414;373109;389893
München Hauptbahnhof;München;Bayern;A · Metropolknoten (ab 200.000/Tag);11848190;11354209;12940580;12635142;12913788;12540536;12709913;12129045;12940545;13215405;12480205;13037442
München Ost;München;Bayern;B · Großstadtbahnhof (50.000–199.999/Tag);4884282;4682153;5388507;5203978;5606293;5477487;5388967;5010584;5343294;5502917;5380585;5640953
München-Pasing;München;Bayern;B · Großstadtbahnhof (50.000–199.999/Tag);3934146;3834677;4265207;4258743;4368357;4312124;4230801;4039058;4325405;4517825;4252154;4396503
Münster (Westfalen) Hauptbahnhof;Münster;Nordrhein-Westfalen;B · Großstadtbahnhof (50.000–199.999/Tag);2019250;1885926;2140609;2099966;2210043;2190252;2128381;2040383;2178366;2254831;2158033;2243960
Neumünster;Neumünster;Schleswig-Holstein;C · Regionalbahnhof (unter 50.000/Tag);375502;354095;393890;387206;420069;402673;404035;371434;403168;421537;393749;417642
Neuss Hauptbahnhof;Neuss;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);374656;353166;400318;397582;410906;402762;398528;382829;397985;419371;395941;410956
Neustadt (Weinstraße) Hauptbahnhof;Neustadt an der Weinstraße;Rheinland-Pfalz;C · Regionalbahnhof (unter 50.000/Tag);565636;536246;624481;605854;648775;612254;604137;573750;624183;640819;618814;645051
Nürnberg Hauptbahnhof;Nürnberg;Bayern;A · Metropolknoten (ab 200.000/Tag);6077427;5676231;6465458;6386299;6849020;6449642;6474906;6050812;6447272;6751908;6375667;6645358
Offenburg;Offenburg;Baden-Württemberg;C · Regionalbahnhof (unter 50.000/Tag);765380;720338;836748;828989;874287;842156;819433;792896;834535;856260;815265;868713
Oldenburg (Oldenburg) Hauptbahnhof;Oldenburg;Niedersachsen;C · Regionalbahnhof (unter 50.000/Tag);710251;687104;779840;744951;809267;768014;777435;734233;759173;813749;757120;783863
Osnabrück Hauptbahnhof;Osnabrück;Niedersachsen;C · Regionalbahnhof (unter 50.000/Tag);577193;541273;629829;593760;637985;617666;617093;583049;604952;640126;613859;643215
Paderborn Hauptbahnhof;Paderborn;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);321376;307829;356906;352528;369798;348721;352950;328157;361219;371452;354233;372331
Pforzheim Hauptbahnhof;Pforzheim;Baden-Württemberg;B · Großstadtbahnhof (50.000–199.999/Tag);1433750;1357032;1552156;1518494;1598584;1540321;1512496;1434157;1542910;1608420;1542966;1608714
Potsdam Hauptbahnhof;Potsdam;Brandenburg;B · Großstadtbahnhof (50.000–199.999/Tag);1979043;1874135;2167696;2107244;2252782;2173437;2177097;2072362;2135678;2200887;2142713;2266926
Rheine;Rheine;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);336603;332000;377098;361373;379482;374339;370069;345743;364688;387631;363487;387487
Rosenheim;Rosenheim;Bayern;C · Regionalbahnhof (unter 50.000/Tag);578606;544333;629204;600743;647337;615282;612994;586630;606336;637433;599634;641468
Rostock Hauptbahnhof;Rostock;Mecklenburg-Vorpommern;C · Regionalbahnhof (unter 50.000/Tag);681005;647016;751877;722019;760909;748193;746141;690640;754035;769865;734753;753547
Saarbrücken Hauptbahnhof;Saarbrücken;Saarland;C · Regionalbahnhof (unter 50.000/Tag);815554;796705;907627;884074;924300;894081;885546;851348;884098;925756;876706;939205
Solingen Hauptbahnhof;Solingen;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);446425;439009;502500;478704;500944;492423;496483;468169;500332;500420;495376;519215
Stuttgart Hauptbahnhof;Stuttgart;Baden-Württemberg;A · Metropolknoten (ab 200.000/Tag);7177657;7026778;7792757;7645724;8093888;7794118;7919977;7581309;7902772;8178223;7760638;8201159
Trier Hauptbahnhof;Trier;Rheinland-Pfalz;C · Regionalbahnhof (unter 50.000/Tag);511919;491817;553865;536247;570961;562224;559556;517115;552494;586231;553253;574318
Tübingen Hauptbahnhof;Tübingen;Baden-Württemberg;B · Großstadtbahnhof (50.000–199.999/Tag);1407592;1336360;1536183;1515653;1590517;1565182;1556438;1446968;1568095;1608957;1549313;1568742
Ulm Hauptbahnhof;Ulm;Baden-Württemberg;C · Regionalbahnhof (unter 50.000/Tag);837727;792470;900931;864031;940270;886712;871890;852981;893276;926085;896983;921644
Wiesbaden Hauptbahnhof;Wiesbaden;Hessen;C · Regionalbahnhof (unter 50.000/Tag);1308631;1274972;1426405;1399907;1446706;1418556;1416175;1322166;1419419;1460151;1404156;1492756
Wolfsburg Hauptbahnhof;Wolfsburg;Niedersachsen;C · Regionalbahnhof (unter 50.000/Tag);290419;267148;307186;307458;313571;311653;307890;289636;305100;323268;308598;318073
Worms Hauptbahnhof;Worms;Rheinland-Pfalz;C · Regionalbahnhof (unter 50.000/Tag);422353;405794;459779;448061;485775;465154;464367;442915;459009;475294;455678;490821
Wuppertal Hauptbahnhof;Wuppertal;Nordrhein-Westfalen;C · Regionalbahnhof (unter 50.000/Tag);1139241;1097706;1214536;1207485;1289766;1244692;1228849;1185187;1256400;1261084;1226433;1248621
Würzburg Hauptbahnhof;Würzburg;Bayern;C · Regionalbahnhof (unter 50.000/Tag);783399;750662;871655;836407;883950;874371;872358;800799;871879;905317;867165;902038
