Personalnr,BereichID,Standort,Rolle,Beschaeftigung,FTE,Altersgruppe,Eintritt
00181,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2012-07-01
00182,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2011-12-01
00183,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2024-03-01
00184,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2004-05-01
00185,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2021-08-01
00186,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2018-03-01
00187,B02,Werk Ulm,Führungskraft,Vollzeit,1.00,45–54,2001-04-01
00188,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2020-05-01
00189,B02,Werk Kassel,Mitarbeitende,Teilzeit,0.60,45–54,2024-08-01
00190,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2016-02-01
00191,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2023-02-01
00192,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2008-10-01
00193,B02,Werk Ulm,Mitarbeitende,Teilzeit,0.75,45–54,2009-05-01
00194,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2017-11-01
00195,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2012-11-01
00196,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2004-03-01
00197,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2018-04-01
00198,B02,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2022-04-01
00199,B02,Werk Ulm,Führungskraft,Vollzeit,1.00,55+,2015-02-01
00200,B02,Werk Ulm,Auszubildende,Vollzeit,1.00,unter 30,2024-09-01
00201,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2016-02-01
00202,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,1994-01-01
00203,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2015-12-01
00204,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2016-01-01
00205,B02,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2008-03-01
00206,B03,Zentrale Hannover,Führungskraft,Vollzeit,1.00,30–44,2021-01-01
00207,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2021-10-01
00208,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2005-10-01
00209,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2005-05-01
00210,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1998-05-01
00211,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2020-10-01
00212,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2017-04-01
00213,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2011-06-01
00214,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2013-10-01
00215,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1997-10-01
00216,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2007-02-01
00217,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2016-07-01
00218,B03,Zentrale Hannover,Führungskraft,Vollzeit,1.00,55+,2018-05-01
00219,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2008-01-01
00220,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,45–54,2003-07-01
00221,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2017-06-01
00222,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2022-08-01
00223,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1999-02-01
00224,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2001-09-01
00225,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1994-04-01
00226,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2023-12-01
00227,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2018-09-01
00228,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2017-05-01
00229,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2006-11-01
00230,B03,Zentrale Hannover,Führungskraft,Vollzeit,1.00,30–44,2014-11-01
00231,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2002-08-01
00232,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2024-02-01
00233,B03,Werk Kassel,Mitarbeitende,Teilzeit,0.60,45–54,2009-04-01
00234,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2000-08-01
00235,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2021-04-01
00236,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2022-09-01
00237,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2018-08-01
00238,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2023-08-01
00239,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,45–54,2023-07-01
00240,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1991-08-01
00241,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,30–44,2008-06-01
00242,B03,Zentrale Hannover,Führungskraft,Teilzeit,0.80,45–54,2016-05-01
00243,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,45–54,2024-10-01
00244,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,55+,2022-06-01
00245,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2005-04-01
00246,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2004-09-01
00247,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2017-06-01
00248,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2018-07-01
00249,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2022-10-01
00250,B03,Werk Kassel,Mitarbeitende,Teilzeit,0.75,55+,2012-02-01
00251,B03,Werk Kassel,Mitarbeitende,Teilzeit,0.80,45–54,2005-08-01
00252,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2018-07-01
00253,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2024-07-01
00254,B03,Werk Kassel,Führungskraft,Teilzeit,0.60,30–44,2010-07-01
00255,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,30–44,2019-10-01
00256,B03,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,55+,2018-12-01
00257,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2021-11-01
00258,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2016-10-01
00259,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2019-12-01
00260,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2019-09-01
00261,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2020-10-01
00262,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2017-06-01
00263,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2017-10-01
00264,B03,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2010-09-01
00265,B03,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2013-08-01
00266,B04,Werk Ulm,Führungskraft,Vollzeit,1.00,unter 30,2016-12-01
00267,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2018-02-01
00268,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,unter 30,2021-01-01
00269,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,1996-09-01
00270,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2010-05-01
00271,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2007-05-01
00272,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2020-01-01
00273,B04,Werk Ulm,Mitarbeitende,Teilzeit,0.50,55+,2024-01-01
00274,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2007-09-01
00275,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2021-08-01
00276,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2010-10-01
00277,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2006-05-01
00278,B04,Werk Kassel,Führungskraft,Vollzeit,1.00,55+,2012-09-01
00279,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2018-11-01
00280,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2011-11-01
00281,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.75,30–44,2015-10-01
00282,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2011-08-01
00283,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2004-11-01
00284,B04,Werk Ulm,Mitarbeitende,Teilzeit,0.80,30–44,2021-11-01
00285,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2020-11-01
00286,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2018-01-01
00287,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.80,unter 30,2017-02-01
00288,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2015-12-01
00289,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,2002-01-01
00290,B04,Werk Kassel,Führungskraft,Teilzeit,0.80,45–54,2014-04-01
00291,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.50,45–54,1998-11-01
00292,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.50,30–44,2006-12-01
00293,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2015-05-01
00294,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2015-06-01
00295,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,55+,2006-06-01
00296,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2004-11-01
00297,B04,Werk Ulm,Mitarbeitende,Teilzeit,0.75,30–44,2014-11-01
00298,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2023-11-01
00299,B04,Werk Kassel,Mitarbeitende,Vollzeit,1.00,45–54,2004-09-01
00300,B04,Werk Ulm,Mitarbeitende,Teilzeit,0.60,45–54,2017-05-01
00301,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2019-07-01
00302,B04,Werk Kassel,Führungskraft,Teilzeit,0.50,30–44,2004-06-01
00303,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2001-10-01
00304,B04,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2024-10-01
00305,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.80,30–44,2005-04-01
00306,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.50,unter 30,2023-03-01
00307,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2011-07-01
00308,B04,Werk Kassel,Mitarbeitende,Teilzeit,0.60,45–54,2023-12-01
