BuchungsID;Personalnr;Kursnr;Kurstitel;Buchungsdatum;Kursbeginn;Kursende;Status;Stunden;Kosten;Feedback
250548;70;K-002;Arbeitsschutz-Unterweisung;05.12.2024;09.01.2025;09.01.2025;ABGESCHLOSSEN ;2;0,00 €;
251540;190;K-003;Verhaltenskodex & Compliance;05.12.2024;15.01.2025;15.01.2025;abgeschlossen;1;0,00 €;
252806;353;K-002;Arbeitsschutz-Unterweisung;05.12.2024;30.01.2025;30.01.2025;teilgenommen;2;0,00 €;4
251248;154;K-002;Arbeitsschutz-Unterweisung;06.12.2024;03.01.2025;03.01.2025;abgeschlossen;2;0,00 €;5
251266;156;K-002;Arbeitsschutz-Unterweisung;06.12.2024;22.01.2025;22.01.2025;abgeschlossen;2;0,00 €;3
251694;208;K-002;Arbeitsschutz-Unterweisung;06.12.2024;13.01.2025;13.01.2025;abgeschlossen;2;0,00 €;5
252926;367;K-305;Projektmanagement Basis;06.12.2024;04.02.2025;05.02.2025;abgeschlossen;16;979,73 €;
251272;157;K-003;Verhaltenskodex & Compliance;07.12.2024;31.01.2025;31.01.2025;abgeschlossen;1;0,00 €;2
251791;221;K-001;Datenschutz-Grundlagen;07.12.2024;02.01.2025;02.01.2025;abgeschlossen;1;0,00 €;
252180;271;K-402;Erste Hilfe;07.12.2024;13.01.2025;13.01.2025;abgeschlossen;9;63,04 €;4
250605;78;K-002;Arbeitsschutz-Unterweisung;08.12.2024;21.01.2025;21.01.2025;abgeschlossen;2;0,00 €;4
252041;252;K-003;Verhaltenskodex & Compliance;08.12.2024;08.01.2025;08.01.2025;abgeschlossen;1;0,00 €;3
252642;331;K-001;Datenschutz-Grundlagen;08.12.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;3
252739;344;K-002;Arbeitsschutz-Unterweisung;08.12.2024;24.01.2025;24.01.2025;ABGESCHLOSSEN ;2;0,00 €;5
251415;176;K-002;Arbeitsschutz-Unterweisung;09.12.2024;24.01.2025;24.01.2025;abgeschlossen;2;0,00 €;5
251898;234;K-003;Verhaltenskodex & Compliance;09.12.2024;09.01.2025;09.01.2025;abgeschlossen;1;0,00 €;3
250313;40;K-003;Verhaltenskodex & Compliance;11.12.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;3
250609;78;K-402;Erste Hilfe;11.12.2024;14.01.2025;14.01.2025;abgeschlossen;9;63,77 €;5
252342;293;K-002;Arbeitsschutz-Unterweisung;11.12.2024;31.01.2025;31.01.2025;ABGESCHLOSSEN ;2;0,00 €;5
252377;297;K-001;Datenschutz-Grundlagen;11.12.2024;06.01.2025;06.01.2025;abgeschlossen;1;0,00 €;3
252708;340;K-001;Datenschutz-Grundlagen;11.12.2024;08.01.2025;08.01.2025;abgeschlossen;1;0,00 €;3
252902;364;K-305;Projektmanagement Basis;11.12.2024;13.01.2025;14.01.2025;ABGESCHLOSSEN ;16;977,70 €;4
252106;262;K-003;Verhaltenskodex & Compliance;12.12.2024;08.01.2025;08.01.2025;abgeschlossen;1;0,00 €;3
252549;319;K-002;Arbeitsschutz-Unterweisung;12.12.2024;03.01.2025;03.01.2025;ABGESCHLOSSEN ;2;0,00 €;
250689;87;K-003;Verhaltenskodex & Compliance;13.12.2024;24.01.2025;24.01.2025;abgeschlossen;1;0,00 €;3
252104;262;K-001;Datenschutz-Grundlagen;13.12.2024;13.01.2025;13.01.2025;abgeschlossen;1;0,00 €;5
253110;389;K-003;Verhaltenskodex & Compliance;13.12.2024;22.01.2025;22.01.2025;teilgenommen;1;0,00 €;4
250233;30;K-002;Arbeitsschutz-Unterweisung;14.12.2024;02.01.2025;02.01.2025;abgeschlossen;2;0,00 €;5
250309;40;K-001;Datenschutz-Grundlagen;14.12.2024;17.01.2025;17.01.2025;teilgenommen;1;0,00 €;3
250459;57;K-003;Verhaltenskodex & Compliance;14.12.2024;04.02.2025;04.02.2025;abgeschlossen;1;0,00 €;
250735;94;K-002;Arbeitsschutz-Unterweisung;14.12.2024;10.01.2025;10.01.2025;abgeschlossen;2;0,00 €;
251367;169;K-003;Verhaltenskodex & Compliance;14.12.2024;10.01.2025;10.01.2025;abgeschlossen;1;0,00 €;3
250595;76;K-003;Verhaltenskodex & Compliance;15.12.2024;21.01.2025;21.01.2025;abgeschlossen;1;0,00 €;3
251175;146;K-002;Arbeitsschutz-Unterweisung;15.12.2024;15.01.2025;15.01.2025;abgeschlossen;2;0,00 €;5
252501;312;K-101;Excel Aufbau;15.12.2024;07.02.2025;07.02.2025;abgeschlossen;8;299,53 €;
252750;346;K-003;Verhaltenskodex & Compliance;15.12.2024;15.01.2025;15.01.2025;abgeschlossen;1;0,00 €;3
250883;111;K-003;Verhaltenskodex & Compliance;16.12.2024;06.01.2025;06.01.2025;abgeschlossen;1;0,00 €;3
251020;129;K-002;Arbeitsschutz-Unterweisung;16.12.2024;28.01.2025;28.01.2025;abgeschlossen;2;0,00 €;3
253127;392;K-001;Datenschutz-Grundlagen;16.12.2024;07.02.2025;07.02.2025;abgeschlossen;1;0,00 €;3
251433;178;K-002;Arbeitsschutz-Unterweisung;17.12.2024;14.01.2025;14.01.2025;abgeschlossen;2;0,00 €;3
251636;201;K-502;Deutsch am Arbeitsplatz;17.12.2024;12.02.2025;13.02.2025;storniert ;0;182,08 €;
252266;282;K-402;Erste Hilfe;17.12.2024;02.01.2025;02.01.2025;abgeschlossen;9;65,81 €;3
253161;395;K-003;Verhaltenskodex & Compliance;17.12.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;4
250643;83;K-002;Arbeitsschutz-Unterweisung;18.12.2024;10.01.2025;10.01.2025;abgeschlossen;2;0,00 €;5
250704;89;K-002;Arbeitsschutz-Unterweisung;18.12.2024;16.01.2025;16.01.2025;ABGESCHLOSSEN ;2;0,00 €;4
251151;144;K-002;Arbeitsschutz-Unterweisung;18.12.2024;17.01.2025;17.01.2025;abgeschlossen;2;0,00 €;4
251945;242;K-001;Datenschutz-Grundlagen;18.12.2024;22.01.2025;22.01.2025;Abgeschlossen;1;0,00 €;4
252348;294;K-001;Datenschutz-Grundlagen;18.12.2024;14.02.2025;14.02.2025;Abgeschlossen;1;0,00 €;4
253102;388;K-001;Datenschutz-Grundlagen;18.12.2024;10.02.2025;10.02.2025;abgeschlossen;1;0,00 €;4
253138;393;K-003;Verhaltenskodex & Compliance;19.12.2024;30.01.2025;30.01.2025;abgeschlossen;1;0,00 €;4
250071;10;K-001;Datenschutz-Grundlagen;20.12.2024;06.01.2025;06.01.2025;abgeschlossen;1;0,00 €;3
252204;274;K-402;Erste Hilfe;20.12.2024;07.01.2025;07.01.2025;abgeschlossen;9;68,16 €;4
252405;301;K-001;Datenschutz-Grundlagen;20.12.2024;17.01.2025;17.01.2025;teilgenommen;1;0,00 €;4
252580;323;K-202;Konfliktgespräche führen;20.12.2024;06.02.2025;06.02.2025;abgeschlossen;8;688,14 €;4
252987;373;K-105;Cloud-Architektur Zertifizierung;20.12.2024;10.02.2025;13.02.2025;abgeschlossen;32;2.342,88 €;
253345;418;K-106;SAP S/4 Anwendertraining;20.12.2024;06.02.2025;06.02.2025;abgeschlossen;8;0,00 €;2
252383;298;K-001;Datenschutz-Grundlagen;21.12.2024;15.01.2025;15.01.2025;teilgenommen;1;0,00 €;3
251702;209;K-002;Arbeitsschutz-Unterweisung;22.12.2024;06.01.2025;06.01.2025;abgeschlossen;2;0,00 €;3
252302;287;K-002;Arbeitsschutz-Unterweisung;22.12.2024;09.01.2025;09.01.2025;abgeschlossen;2;0,00 €;
251018;128;K-302;CNC-Programmierung;23.12.2024;07.02.2025;09.02.2025;abgeschlossen;24;1.403,67 €;5
251504;186;K-001;Datenschutz-Grundlagen;23.12.2024;10.01.2025;10.01.2025;abgeschlossen;1;0,00 €;
252229;278;K-001;Datenschutz-Grundlagen;23.12.2024;07.02.2025;07.02.2025;ABGESCHLOSSEN ;1;0,00 €;4
250041;6;K-002;Arbeitsschutz-Unterweisung;24.12.2024;30.01.2025;30.01.2025;abgeschlossen;2;0,00 €;
250111;14;K-003;Verhaltenskodex & Compliance;24.12.2024;04.02.2025;04.02.2025;abgeschlossen;1;0,00 €;
252479;310;K-001;Datenschutz-Grundlagen;24.12.2024;14.01.2025;14.01.2025;abgeschlossen;1;0,00 €;
252730;343;K-002;Arbeitsschutz-Unterweisung;24.12.2024;08.01.2025;08.01.2025;teilgenommen;2;0,00 €;
250392;49;K-301;Lean Production;25.12.2024;15.01.2025;16.01.2025;abgeschlossen;16;1.009,82 €;
250880;111;K-002;Arbeitsschutz-Unterweisung;25.12.2024;14.01.2025;14.01.2025;abgeschlossen;2;0,00 €;
251839;226;K-305;Projektmanagement Basis;25.12.2024;22.01.2025;23.01.2025;Storniert;0;0,00 €;
251884;232;K-001;Datenschutz-Grundlagen;25.12.2024;13.02.2025;13.02.2025;Abgeschlossen;1;0,00 €;
252415;301;K-304;Qualitätsmanagement ISO 9001;25.12.2024;13.01.2025;14.01.2025;teilgenommen;12;843,60 €;5
252504;313;K-001;Datenschutz-Grundlagen;25.12.2024;02.01.2025;02.01.2025;abgeschlossen;1;0,00 €;2
252707;339;K-003;Verhaltenskodex & Compliance;25.12.2024;02.01.2025;02.01.2025;abgeschlossen;1;0,00 €;4
252707;339;K-003;Verhaltenskodex & Compliance;25.12.2024;02.01.2025;02.01.2025;abgeschlossen;1;0,00 €;4
253114;390;K-002;Arbeitsschutz-Unterweisung;25.12.2024;07.02.2025;07.02.2025;abgeschlossen;2;0,00 €;
253322;416;K-002;Arbeitsschutz-Unterweisung;25.12.2024;21.02.2025;21.02.2025;abgeschlossen;2;0,00 €;3
250367;47;K-001;Datenschutz-Grundlagen;26.12.2024;17.02.2025;17.02.2025;teilgenommen;1;0,00 €;4
250835;106;K-002;Arbeitsschutz-Unterweisung;26.12.2024;21.01.2025;21.01.2025;abgeschlossen;2;0,00 €;
251041;131;K-002;Arbeitsschutz-Unterweisung;26.12.2024;21.01.2025;21.01.2025;ABGESCHLOSSEN ;2;0,00 €;4
252574;323;K-002;Arbeitsschutz-Unterweisung;26.12.2024;06.02.2025;06.02.2025;abgeschlossen;2;0,00 €;
252675;334;K-104;IT-Sicherheit für alle;26.12.2024;06.02.2025;06.02.2025;abgeschlossen;2;0,00 €;3
253270;408;K-003;Verhaltenskodex & Compliance;26.12.2024;10.01.2025;10.01.2025;abgeschlossen;1;0,00 €;3
252063;256;K-001;Datenschutz-Grundlagen;27.12.2024;20.02.2025;20.02.2025;abgeschlossen;1;0,00 €;3
252112;263;K-104;IT-Sicherheit für alle;27.12.2024;17.02.2025;17.02.2025;abgeschlossen;2;0,00 €;3
253000;375;K-003;Verhaltenskodex & Compliance;27.12.2024;14.01.2025;14.01.2025;abgeschlossen;1;0,00 €;4
253082;386;K-001;Datenschutz-Grundlagen;27.12.2024;23.01.2025;23.01.2025;abgeschlossen;1;0,00 €;3
250240;30;K-302;CNC-Programmierung;28.12.2024;25.02.2025;27.02.2025;abgeschlossen;24;1.330,28 €;3
250756;96;K-502;Deutsch am Arbeitsplatz;28.12.2024;05.02.2025;06.02.2025;abgeschlossen;20;368,93 €;
252423;302;K-203;Feedback & Mitarbeitergespräch;28.12.2024;20.02.2025;20.02.2025;ABGESCHLOSSEN ;4;0,00 €;3
252789;351;K-001;Datenschutz-Grundlagen;28.12.2024;13.02.2025;13.02.2025;abgeschlossen;1;0,00 €;
250081;11;K-003;Verhaltenskodex & Compliance;29.12.2024;25.02.2025;25.02.2025;abgeschlossen;1;0,00 €;3
250457;57;K-001;Datenschutz-Grundlagen;29.12.2024;08.01.2025;08.01.2025;abgeschlossen;1;0,00 €;3
251007;127;K-003;Verhaltenskodex & Compliance;29.12.2024;03.02.2025;03.02.2025;abgeschlossen;1;0,00 €;5
251509;187;K-001;Datenschutz-Grundlagen;29.12.2024;24.02.2025;24.02.2025;abgeschlossen;1;0,00 €;
251584;196;K-003;Verhaltenskodex & Compliance;29.12.2024;09.01.2025;09.01.2025;abgeschlossen;1;0,00 €;3
252367;295;K-003;Verhaltenskodex & Compliance;29.12.2024;29.01.2025;29.01.2025;abgeschlossen;1;0,00 €;
252691;337;K-001;Datenschutz-Grundlagen;29.12.2024;09.01.2025;09.01.2025;abgeschlossen;1;0,00 €;
250115;15;K-002;Arbeitsschutz-Unterweisung;30.12.2024;14.02.2025;14.02.2025;Abgeschlossen;2;0,00 €;3
250629;81;K-003;Verhaltenskodex & Compliance;30.12.2024;30.01.2025;30.01.2025;abgeschlossen;1;0,00 €;
251067;133;K-201;Führung Basis;30.12.2024;26.02.2025;28.02.2025;abgeschlossen;24;1.728,20 €;5
252083;259;K-001;Datenschutz-Grundlagen;30.12.2024;31.01.2025;31.01.2025;abgeschlossen;1;0,00 €;
252130;266;K-001;Datenschutz-Grundlagen;30.12.2024;27.01.2025;27.01.2025;ABGESCHLOSSEN ;1;0,00 €;4
252255;282;K-001;Datenschutz-Grundlagen;30.12.2024;18.02.2025;18.02.2025;abgeschlossen;1;0,00 €;5
252288;285;K-003;Verhaltenskodex & Compliance;30.12.2024;14.01.2025;14.01.2025;ABGESCHLOSSEN ;1;0,00 €;
252583;323;K-202;Konfliktgespräche führen;30.12.2024;20.02.2025;20.02.2025;teilgenommen;8;707,58 €;4
252746;346;K-001;Datenschutz-Grundlagen;30.12.2024;15.01.2025;15.01.2025;abgeschlossen;1;0,00 €;4
251675;206;K-002;Arbeitsschutz-Unterweisung;31.12.2024;26.02.2025;26.02.2025;abgeschlossen;2;0,00 €;4
251857;229;K-001;Datenschutz-Grundlagen;31.12.2024;07.01.2025;07.01.2025;abgeschlossen;1;0,00 €;
252603;325;K-003;Verhaltenskodex & Compliance;31.12.2024;08.01.2025;08.01.2025;abgeschlossen;1;0,00 €;3
252798;352;K-002;Arbeitsschutz-Unterweisung;31.12.2024;06.02.2025;06.02.2025;ABGESCHLOSSEN ;2;0,00 €;2
251134;142;K-001;Datenschutz-Grundlagen;01.01.2025;25.02.2025;25.02.2025;Abgeschlossen;1;0,00 €;3
251471;182;K-003;Verhaltenskodex & Compliance;01.01.2025;21.02.2025;21.02.2025;abgeschlossen;1;0,00 €;5
251582;196;K-001;Datenschutz-Grundlagen;01.01.2025;04.02.2025;04.02.2025;teilgenommen;1;0,00 €;
251629;201;K-002;Arbeitsschutz-Unterweisung;01.01.2025;12.02.2025;12.02.2025;abgeschlossen;2;0,00 €;5
251644;202;K-401;Staplerschein;01.01.2025;13.01.2025;14.01.2025;abgeschlossen;16;410,23 €;5
252925;367;K-003;Verhaltenskodex & Compliance;01.01.2025;28.01.2025;28.01.2025;abgeschlossen;1;0,00 €;4
253012;377;K-001;Datenschutz-Grundlagen;01.01.2025;13.01.2025;13.01.2025;abgeschlossen;1;0,00 €;
251071;134;K-002;Arbeitsschutz-Unterweisung;02.01.2025;06.02.2025;06.02.2025;abgeschlossen;2;0,00 €;4
251216;151;K-001;Datenschutz-Grundlagen;02.01.2025;25.02.2025;25.02.2025;abgeschlossen;1;0,00 €;
250524;66;K-303;Schweißtechnik Auffrischung;03.01.2025;05.02.2025;06.02.2025;ABGESCHLOSSEN ;16;754,87 €;4
250563;72;K-001;Datenschutz-Grundlagen;03.01.2025;21.02.2025;21.02.2025;abgeschlossen;1;0,00 €;3
251159;145;K-002;Arbeitsschutz-Unterweisung;03.01.2025;25.02.2025;25.02.2025;abgeschlossen;2;0,00 €;
251563;193;K-003;Verhaltenskodex & Compliance;03.01.2025;22.01.2025;22.01.2025;abgeschlossen;1;0,00 €;4
251589;197;K-002;Arbeitsschutz-Unterweisung;03.01.2025;04.02.2025;04.02.2025;teilgenommen;2;0,00 €;4
252927;367;K-105;Cloud-Architektur Zertifizierung;03.01.2025;21.02.2025;24.02.2025;abgeschlossen;32;2.420,47 €;4
252983;373;K-002;Arbeitsschutz-Unterweisung;03.01.2025;04.02.2025;04.02.2025;Abgeschlossen;2;0,00 €;3
251566;194;K-002;Arbeitsschutz-Unterweisung;04.01.2025;04.03.2025;04.03.2025;Abgeschlossen;2;0,00 €;3
251859;229;K-003;Verhaltenskodex & Compliance;04.01.2025;19.02.2025;19.02.2025;abgeschlossen;1;0,00 €;4
251940;240;K-003;Verhaltenskodex & Compliance;04.01.2025;24.01.2025;24.01.2025;abgeschlossen;1;0,00 €;4
253235;404;K-003;Verhaltenskodex & Compliance;04.01.2025;05.02.2025;05.02.2025;ABGESCHLOSSEN ;1;0,00 €;4
250008;1;K-201;Führung Basis;05.01.2025;13.02.2025;15.02.2025;Nicht erschienen;0;1.625,74 €;
252289;285;K-104;IT-Sicherheit für alle;05.01.2025;23.01.2025;23.01.2025;abgeschlossen;2;0,00 €;4
252804;353;K-001;Datenschutz-Grundlagen;05.01.2025;22.01.2025;22.01.2025;abgeschlossen;1;0,00 €;
251826;225;K-002;Arbeitsschutz-Unterweisung;06.01.2025;05.02.2025;05.02.2025;teilgenommen;2;0,00 €;3
250473;60;K-001;Datenschutz-Grundlagen;07.01.2025;19.02.2025;19.02.2025;abgeschlossen;1;0,00 €;
250952;120;K-003;Verhaltenskodex & Compliance;07.01.2025;05.02.2025;05.02.2025;abgeschlossen;1;0,00 €;3
251031;130;K-002;Arbeitsschutz-Unterweisung;07.01.2025;19.02.2025;19.02.2025;Abgeschlossen;2;0,00 €;4
251303;161;K-003;Verhaltenskodex & Compliance;07.01.2025;04.02.2025;04.02.2025;abgeschlossen;1;0,00 €;
252239;279;K-003;Verhaltenskodex & Compliance;07.01.2025;05.03.2025;05.03.2025;abgeschlossen;1;0,00 €;4
250816;104;K-002;Arbeitsschutz-Unterweisung;08.01.2025;20.01.2025;20.01.2025;ABGESCHLOSSEN ;2;0,00 €;3
252498;312;K-002;Arbeitsschutz-Unterweisung;08.01.2025;06.03.2025;06.03.2025;abgeschlossen;2;0,00 €;3
253021;378;K-003;Verhaltenskodex & Compliance;08.01.2025;24.01.2025;24.01.2025;Abgeschlossen;1;0,00 €;3
253355;420;K-001;Datenschutz-Grundlagen;08.01.2025;16.01.2025;16.01.2025;Abgeschlossen;1;0,00 €;3
250006;1;K-002;Arbeitsschutz-Unterweisung;09.01.2025;26.02.2025;26.02.2025;teilgenommen;2;0,00 €;
250065;9;K-002;Arbeitsschutz-Unterweisung;09.01.2025;07.02.2025;07.02.2025;abgeschlossen;2;0,00 €;4
250817;104;K-003;Verhaltenskodex & Compliance;09.01.2025;05.02.2025;05.02.2025;Abgeschlossen;1;0,00 €;
251372;170;K-003;Verhaltenskodex & Compliance;09.01.2025;18.02.2025;18.02.2025;abgeschlossen;1;0,00 €;3
252626;328;K-003;Verhaltenskodex & Compliance;09.01.2025;21.01.2025;21.01.2025;abgeschlossen;1;0,00 €;
252951;370;K-001;Datenschutz-Grundlagen;09.01.2025;11.02.2025;11.02.2025;abgeschlossen;1;0,00 €;3
253254;406;K-003;Verhaltenskodex & Compliance;09.01.2025;05.03.2025;05.03.2025;teilgenommen;1;0,00 €;4
250971;123;K-001;Datenschutz-Grundlagen;10.01.2025;24.01.2025;24.01.2025;abgeschlossen;1;0,00 €;
251207;150;K-001;Datenschutz-Grundlagen;10.01.2025;24.02.2025;24.02.2025;abgeschlossen;1;0,00 €;3
251812;223;K-003;Verhaltenskodex & Compliance;10.01.2025;06.03.2025;06.03.2025;abgeschlossen;1;0,00 €;
251976;245;K-102;Power BI Grundlagen;10.01.2025;26.02.2025;27.02.2025;abgeschlossen;16;848,24 €;3
253236;404;K-305;Projektmanagement Basis;10.01.2025;06.02.2025;07.02.2025;abgeschlossen;16;934,71 €;
250660;84;K-103;KI im Arbeitsalltag;11.01.2025;07.02.2025;07.02.2025;Abgeschlossen;4;0,00 €;5
250660;84;K-103;KI im Arbeitsalltag;11.01.2025;07.02.2025;07.02.2025;Abgeschlossen;4;0,00 €;5
251864;229;K-103;KI im Arbeitsalltag;11.01.2025;10.02.2025;10.02.2025;abgeschlossen;4;0,00 €;3
252085;259;K-002;Arbeitsschutz-Unterweisung;11.01.2025;20.01.2025;20.01.2025;abgeschlossen;2;0,00 €;
252427;303;K-003;Verhaltenskodex & Compliance;11.01.2025;13.02.2025;13.02.2025;abgeschlossen;1;0,00 €;5
253346;419;K-001;Datenschutz-Grundlagen;11.01.2025;21.01.2025;21.01.2025;abgeschlossen;1;0,00 €;3
250242;31;K-002;Arbeitsschutz-Unterweisung;12.01.2025;19.02.2025;19.02.2025;teilgenommen;2;0,00 €;4
250267;35;K-002;Arbeitsschutz-Unterweisung;12.01.2025;17.02.2025;17.02.2025;abgeschlossen;2;0,00 €;
250267;35;K-002;Arbeitsschutz-Unterweisung;12.01.2025;17.02.2025;17.02.2025;abgeschlossen;2;0,00 €;
250523;66;K-502;Deutsch am Arbeitsplatz;12.01.2025;12.02.2025;13.02.2025;abgeschlossen;16;378,95 €;
251152;144;K-003;Verhaltenskodex & Compliance;12.01.2025;10.03.2025;10.03.2025;Abgeschlossen;1;0,00 €;5
251669;205;K-003;Verhaltenskodex & Compliance;12.01.2025;07.03.2025;07.03.2025;abgeschlossen;1;0,00 €;4
252516;314;K-003;Verhaltenskodex & Compliance;12.01.2025;29.01.2025;29.01.2025;abgeschlossen;1;0,00 €;
250415;52;K-002;Arbeitsschutz-Unterweisung;13.01.2025;13.03.2025;13.03.2025;abgeschlossen;2;0,00 €;
251442;179;K-001;Datenschutz-Grundlagen;13.01.2025;20.01.2025;20.01.2025;abgeschlossen;1;0,00 €;
252105;262;K-002;Arbeitsschutz-Unterweisung;13.01.2025;21.01.2025;21.01.2025;abgeschlossen;2;0,00 €;
253097;387;K-002;Arbeitsschutz-Unterweisung;13.01.2025;13.03.2025;13.03.2025;abgeschlossen;2;0,00 €;4
250086;11;K-104;IT-Sicherheit für alle;14.01.2025;21.02.2025;21.02.2025;ABGESCHLOSSEN ;2;0,00 €;4
252651;332;K-001;Datenschutz-Grundlagen;14.01.2025;12.02.2025;12.02.2025;teilgenommen;1;0,00 €;4
252824;355;K-103;KI im Arbeitsalltag;14.01.2025;26.02.2025;26.02.2025;storniert;0;0,00 €;
