Export RT-Kasse v4.2 | Rad & Tat GmbH | erstellt 2026-01-02 06:00 | alle Filialen
Belegnummer,Belegdatum,Filiale,Kategorie,Produkt,Menge,Umsatz,Kosten
B100094,2025-01-24,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100095,2025-01-24,Leipzig,Zubehör,Lichtset LED,1,37.90,16.80
B100096,2025-01-25,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100097,2025-01-27,Hamburg,Fahrräder,Stadtrad Classic,1,629.53,410.00
B100098,2025-01-27,Hamburg,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100099,2025-01-27,Hamburg,Bekleidung,Radhose,2,124.20,58.00
B100100,2025-01-27,Köln,Zubehör,Luftpumpe,2,44.82,19.80
B100101,2025-01-27,München,Bekleidung,Handschuhe,2,53.82,23.00
B100102,2025-01-27,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B100103,2025-01-27,Leipzig,Werkstatt,Inspektion Standard,1,80.10,52.00
B100104,2025-01-27,Leipzig,fahrräder,Trekkingrad Tour,1,809.10,560.00
B100105,2025-01-28,Hamburg,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100106,2025-01-28,Hamburg,Zubehör,Lichtset LED,1,38.70,16.80
B100107,2025-01-28,Köln,Zubehör,Luftpumpe,3,74.70,29.70
B100108,2025-01-28,München,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100109,2025-01-29,Hamburg,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100110,2025-01-29,Köln,Werkstatt,Inspektion Standard,1,89.00,52.00
B100111,2025-01-29,München,Fahrräder,Stadtrad Classic,1,584.10,410.00
B100112,2025-01-30,Hamburg ,Zubehör,Fahrradtasche,3,253.65,132.00
B100113,2025-01-30,Köln,Zubehör,Helm Urban,3,227.72,114.00
B100114,2025-01-30,Leipzig,Zubehör,Lichtset LED,3,107.73,50.40
B100115,2025-01-31,Köln ,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100116,2025-01-31,München,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100117,2025-01-31,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100118,2025-01-31,München,Bekleidung,Regenjacke,2,237.36,122.00
B100119,2025-02-01,Hamburg,Bekleidung,Radhose,2,124.20,58.00
B100120,2025-02-01,Hamburg,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100121,2025-02-01,Hamburg,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100122,2025-02-01,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100123,2025-02-01,Köln,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B100124,2025-02-01,Köln,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100125,2025-02-01,Leipzig,bekleidung,Handschuhe,2,53.82,23.00
B100126,2025-02-03,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100127,2025-02-03,Köln,Bekleidung,Radhose,1,69.00,29.00
B100128,2025-02-03,Köln,Zubehör,Faltschloss,3,170.71,82.50
B100129,2025-02-03,Köln,Bekleidung,Regenjacke,1,116.10,61.00
B100130,2025-02-03,München,e-bikes,E-Bike City,1,2424.03,1690.00
B100131,2025-02-03,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100132,2025-02-04,Hamburg,werkstatt,Inspektion Standard,1,80.10,52.00
B100133,2025-02-04,München,Zubehör,Luftpumpe,1,24.15,9.90
B100134,2025-02-05,Hamburg,Bekleidung,Regenjacke,1,129.00,61.00
B100135,2025-02-05,Hamburg,E-Bikes,E-Bike City,1,2424.03,1690.00
B100136,2025-02-05,Köln,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100137,2025-02-06,Hamburg,E-Bikes,E-Bike City,1,2249.10,1690.00
B100138,2025-02-06,Hamburg,Zubehör,Faltschloss,1,58.10,27.50
B100139,2025-02-06,Hamburg,Zubehör,Lichtset LED,1,38.70,16.80
B100140,2025-02-06,Köln,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100141,2025-02-06,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100142,2025-02-06,Leipzig,Zubehör,Lichtset LED,3,119.70,50.40
B100143,2025-02-07,Hamburg,Fahrräder,Stadtrad Classic,1,629.53,410.00
B100144,2025-02-07,Hamburg,Zubehör,Lichtset LED,3,107.73,50.40
B100145,2025-02-07,Hamburg ,Werkstatt,Inspektion Standard,1,89.00,52.00
B100146,2025-02-07,Hamburg,e-bikes,E-Bike City,1,2374.05,1690.00
B100147,2025-02-07,München,Zubehör,Faltschloss,1,59.90,27.50
B100148,2025-02-07,München,Zubehör,Faltschloss,1,59.90,27.50
B100149,2025-02-08,Hamburg,Zubehör,Faltschloss,1,55.11,27.50
B100150,2025-02-08,Köln,Zubehör,Helm Urban,3,232.51,114.00
B100151,2025-02-08,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B100152,2025-02-08,München,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100153,2025-02-10,Hamburg ,Zubehör,Fahrradtasche,3,258.99,132.00
B100154,2025-02-10,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100155,2025-02-10,Leipzig,Zubehör,Faltschloss,1,59.90,27.50
B100156,2025-02-11,Köln  ,Zubehör,Luftpumpe,3,74.70,29.70
B100157,2025-02-11,Köln,Zubehör,Lichtset LED,1,39.90,16.80
B100158,2025-02-11,München,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100159,2025-02-11,München,E-Bikes,E-Bike Trekking,1,3103.03,2170.00
B100160,2025-02-11,München,zubehör,Faltschloss,1,53.91,27.50
B100161,2025-02-11,Leipzig,Fahrräder,Kinderrad 20 Zoll,1,312.55,205.00
B100162,2025-02-12,Hamburg  ,Bekleidung,Handschuhe,2,59.80,23.00
B100163,2025-02-12,Hamburg,Zubehör,Faltschloss,3,170.71,82.50
B100164,2025-02-12,Köln,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100165,2025-02-12,München,Zubehör,Lichtset LED,1,39.90,16.80
B100166,2025-02-13,Hamburg,Zubehör,Faltschloss,1,58.10,27.50
B100167,2025-02-13,Köln,Werkstatt,Inspektion Standard,1,80.10,52.00
B100168,2025-02-13,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100169,2025-02-13,München,Zubehör,Lichtset LED,3,107.73,50.40
B100170,2025-02-13,München,Werkstatt,Inspektion Standard,1,86.33,52.00
B100171,2025-02-13,Leipzig,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100172,2025-02-13,Leipzig,zubehör,Faltschloss,1,59.90,27.50
B100173,2025-02-13,Leipzig,Zubehör,Helm Urban,1,79.90,38.00
B100174,2025-02-14,Hamburg,Werkstatt,Inspektion Standard,1,86.33,52.00
B100175,2025-02-14,Hamburg,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100176,2025-02-14,Köln,Bekleidung,Regenjacke,2,232.20,122.00
B100177,2025-02-14,Köln,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100178,2025-02-14,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100179,2025-02-14,München,zubehör,Helm Urban,2,143.82,76.00
B100180,2025-02-14,Leipzig,Fahrräder,Stadtrad Classic,1,629.53,410.00
B100181,2025-02-14,Leipzig,Fahrräder,Kinderrad 20 Zoll,1,312.55,205.00
B100182,2025-02-15,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100183,2025-02-15,Köln,Zubehör,Lichtset LED,3,119.70,50.40
B100184,2025-02-15,München,werkstatt,Inspektion Standard,1,86.33,52.00
B100185,2025-02-15,München,Zubehör,Fahrradtasche,3,267.00,132.00
B100186,2025-02-15,München,Zubehör,Luftpumpe,3,74.70,29.70
B100187,2025-02-15,Leipzig,E-Bikes,E-Bike City,1,2374.05,1690.00
B100188,2025-02-15,Leipzig,werkstatt,Schlauchwechsel,1,18.90,9.00
B100189,2025-02-17,Hamburg,E-Bikes,E-Lastenrad,1,4491.00,3490.00
B100190,2025-02-17,Hamburg,Zubehör,Lichtset LED,3,113.71,50.40
B100191,2025-02-17,München,Zubehör,Lichtset LED,3,113.71,50.40
B100192,2025-02-18,Hamburg,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100193,2025-02-18,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100194,2025-02-18,Köln,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B100195,2025-02-18,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100196,2025-02-18,München,Fahrräder,Trekkingrad Tour,1,872.03,560.00
B100197,2025-02-18,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B100198,2025-02-18,München,Zubehör,Faltschloss,1,56.90,27.50
B100199,2025-02-19,Hamburg,Zubehör,Lichtset LED,3,113.71,50.40
B100200,2025-02-19,Leipzig,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100201,2025-02-20,Hamburg,E-Bikes,E-Bike Trekking,1,2943.08,2170.00
B100202,2025-02-20,Köln,Zubehör,Luftpumpe,2,44.82,19.80
B100203,2025-02-20,München,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100204,2025-02-20,München,Zubehör,Luftpumpe,3,74.70,29.70
B100205,2025-02-20,München,Zubehör,Helm Urban,1,73.51,38.00
B100206,2025-02-20,München,fahrräder,Stadtrad Classic,1,584.10,410.00
B100207,2025-02-21,Köln,Werkstatt,Inspektion Standard,1,89.00,52.00
B100208,2025-02-21,München,Zubehör,Luftpumpe,3,74.70,29.70
B100209,2025-02-21,München,Zubehör,Luftpumpe,3,74.70,29.70
B100210,2025-02-21,München,Bekleidung,Handschuhe,1,29.90,11.50
B100211,2025-02-21,Leipzig,Zubehör,Luftpumpe,1,24.90,9.90
B100212,2025-02-22,Hamburg,Bekleidung,Regenjacke,1,129.00,61.00
B100213,2025-02-22,Köln,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100214,2025-02-22,Köln  ,Zubehör,Helm Urban,1,75.91,38.00
B100215,2025-02-22,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100216,2025-02-22,München,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100217,2025-02-24,Köln,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100218,2025-02-25,Hamburg,Zubehör,Luftpumpe,3,70.96,29.70
B100219,2025-02-25,Hamburg,zubehör,Fahrradtasche,3,267.00,132.00
B100220,2025-02-25,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100221,2025-02-25,Köln,Zubehör,Helm Urban,2,159.80,76.00
B100222,2025-02-25,Köln,Fahrräder,Kinderrad 20 Zoll,1,302.68,205.00
B100223,2025-02-25,München ,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100224,2025-02-26,Hamburg,Werkstatt,Inspektion Standard,1,86.33,52.00
B100225,2025-02-26,Hamburg,Zubehör,Luftpumpe,2,48.31,19.80
B100226,2025-02-26,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100227,2025-02-26,Leipzig,Zubehör,Helm Urban,3,215.73,114.00
B100228,2025-02-26,Leipzig,Bekleidung,Handschuhe,2,53.82,23.00
B100229,2025-02-27,Hamburg,Zubehör,Fahrradtasche,2,178.00,88.00
B100230,2025-02-27,Hamburg,Bekleidung,Handschuhe,1,29.90,11.50
B100231,2025-02-27,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100232,2025-02-27,München,Zubehör,Lichtset LED,3,119.70,50.40
B100233,2025-02-27,München,Zubehör,Helm Urban,3,215.73,114.00
B100234,2025-02-27,München,Bekleidung,Handschuhe,2,53.82,23.00
B100235,2025-02-28,Hamburg,Zubehör,Luftpumpe,2,47.31,19.80
B100236,2025-02-28,Hamburg,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100237,2025-02-28,Köln,Zubehör,Lichtset LED,3,113.71,50.40
B100238,2025-02-28,Köln,Zubehör,Faltschloss,3,161.73,82.50
B100239,2025-02-28,München ,Bekleidung,Handschuhe,1,26.91,11.50
B100240,2025-03-01,Hamburg,Zubehör,Lichtset LED,3,116.11,50.40
,,,,,,,
B100241,2025-03-01,Hamburg,Fahrräder,Trekkingrad Tour,1,872.03,560.00
B100242,2025-03-01,Hamburg,Zubehör,Helm Urban,1,79.90,38.00
B100243,2025-03-01,Hamburg,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100244,2025-03-01,Köln,Werkstatt,Inspektion Standard,1,84.55,52.00
B100245,2025-03-01,Köln ,Zubehör,Fahrradtasche,3,240.30,132.00
B100246,2025-03-01,München,fahrräder,Trekkingrad Tour,1,809.10,560.00
B100247,2025-03-01,München,Fahrräder,Stadtrad Classic,1,629.53,410.00
B100248,2025-03-01,München,Zubehör,Lichtset LED,3,110.12,50.40
B100249,2025-03-01,München,Fahrräder,Trekkingrad Tour,1,872.03,560.00
B100250,2025-03-01,Leipzig ,Werkstatt,Inspektion Standard,1,89.00,52.00
B100251,2025-03-01,Leipzig,Zubehör,Helm Urban,1,75.91,38.00
B100252,2025-03-03,Hamburg,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100253,2025-03-03,Hamburg,Zubehör,Luftpumpe,2,49.80,19.80
B100254,2025-03-03,Köln,Zubehör,Luftpumpe,3,72.46,29.70
B100255,2025-03-03,Köln,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100256,2025-03-03,Köln,Zubehör,Helm Urban,1,71.91,38.00
B100257,2025-03-03,München,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100258,2025-03-03,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100259,2025-03-04,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,296.10,205.00
B100260,2025-03-04,Hamburg,Zubehör,Faltschloss,3,174.31,82.50
B100261,2025-03-04,Köln  ,zubehör,Luftpumpe,2,44.82,19.80
B100262,2025-03-04,Köln,E-Bikes,E-Bike Trekking,1,3103.03,2170.00
B100263,2025-03-04,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100264,2025-03-04,Leipzig,Zubehör,Faltschloss,1,53.91,27.50
B100265,2025-03-05,Hamburg,Zubehör,Faltschloss,3,161.73,82.50
B100266,2025-03-05,Hamburg,Werkstatt,Inspektion E-Bike,1,137.08,88.00
B100267,2025-03-05,Hamburg ,Zubehör,Faltschloss,3,161.73,82.50
B100268,2025-03-05,Hamburg,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100269,2025-03-05,Köln,Werkstatt,Inspektion Standard,1,84.55,52.00
B100270,2025-03-05,München,Zubehör,Luftpumpe,3,70.96,29.70
B100271,2025-03-05,München,Zubehör,Faltschloss,1,59.90,27.50
B100272,2025-03-05,Leipzig,Zubehör,Lichtset LED,3,113.71,50.40
B100273,2025-03-05,Leipzig,Werkstatt,Inspektion Standard,1,89.00,52.00
B100274,2025-03-05,Leipzig,Zubehör,Faltschloss,1,58.10,27.50
B100275,2025-03-06,Hamburg,Zubehör,Lichtset LED,2,79.80,33.60
B100276,2025-03-06,Köln,Zubehör,Helm Urban,2,155.01,76.00
B100277,2025-03-06,Köln,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100278,2025-03-06,Köln,Bekleidung,Regenjacke,2,245.10,122.00
B100279,2025-03-06,München,Bekleidung,Handschuhe,2,53.82,23.00
B100280,2025-03-06,Leipzig,Zubehör,Fahrradtasche,1,84.55,44.00
B100281,2025-03-06,Leipzig,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100282,2025-03-07,Hamburg,Bekleidung,Handschuhe,2,59.80,23.00
B100283,2025-03-07,Köln  ,Zubehör,Luftpumpe,2,47.31,19.80
B100284,2025-03-07,München,Bekleidung,Regenjacke,1,122.55,61.00
B100285,2025-03-07,München,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100286,2025-03-07,Leipzig,Zubehör,Luftpumpe,3,74.70,29.70
B100287,2025-03-08,Hamburg,zubehör,Faltschloss,2,119.80,55.00
B100288,2025-03-08,Hamburg,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B100289,2025-03-08,Hamburg,Bekleidung,Radhose,1,69.00,29.00
B100290,2025-03-08,Köln,E-Bikes,E-Bike City,1,2249.10,1690.00
B100291,2025-03-08,Köln,Zubehör,Faltschloss,2,119.80,55.00
B100292,2025-03-08,Köln,Zubehör,Luftpumpe,1,23.65,9.90
B100293,2025-03-08,München,zubehör,Faltschloss,1,53.91,27.50
B100294,2025-03-08,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100295,2025-03-08,München,Fahrräder,Stadtrad Classic,1,584.10,410.00
B100296,2025-03-08,Leipzig,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100297,2025-03-08,Leipzig,Zubehör,Faltschloss,1,58.10,27.50
B100298,2025-03-10,Hamburg,Bekleidung,Handschuhe,1,28.40,11.50
B100299,2025-03-10,Köln,Bekleidung,Handschuhe,1,29.90,11.50
B100300,2025-03-10,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100301,2025-03-10,München,Zubehör,Helm Urban,3,227.72,114.00
B100302,2025-03-11,Hamburg,E-Bikes,E-Lastenrad,1,4491.00,3490.00
B100303,2025-03-11,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100304,2025-03-11,Hamburg,Bekleidung,Handschuhe,2,59.80,23.00
B100305,2025-03-11,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100306,2025-03-11,Hamburg,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100307,2025-03-11,Hamburg,werkstatt,Schlauchwechsel,1,17.91,9.00
B100308,2025-03-11,Hamburg  ,Bekleidung,Radhose,2,138.00,58.00
B100309,2025-03-11,Köln,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100310,2025-03-11,Köln,Bekleidung,Radhose,2,131.10,58.00
B100311,2025-03-11,München,Zubehör,Fahrradtasche,3,253.65,132.00
B100312,2025-03-11,München  ,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100313,2025-03-11,München,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100314,2025-03-11,München  ,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100315,2025-03-11,Leipzig,Zubehör,Helm Urban,1,79.90,38.00
B100316,2025-03-11,Leipzig  ,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100317,2025-03-12,Hamburg,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100318,2025-03-12,Hamburg,Zubehör,Lichtset LED,1,35.91,16.80
B100319,2025-03-12,Hamburg,Zubehör,Lichtset LED,2,77.41,33.60
B100320,2025-03-12,Köln,zubehör,Lichtset LED,1,37.90,16.80
B100321,2025-03-12,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100322,2025-03-12,München,Zubehör,Luftpumpe,3,67.23,29.70
B100323,2025-03-12,Leipzig,E-Bikes,E-Bike City,1,2374.05,1690.00
B100324,2025-03-12,Leipzig,Zubehör,Luftpumpe,1,22.41,9.90
B100325,2025-03-12,Leipzig,Zubehör,Lichtset LED,3,107.73,50.40
B100326,2025-03-12,Leipzig,Bekleidung,Radhose,2,124.20,58.00
B100327,2025-03-13,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100328,2025-03-13,Hamburg,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100329,2025-03-13,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,319.13,205.00
B100330,2025-03-13,Köln,fahrräder,Stadtrad Classic,1,597.08,410.00
B100331,2025-03-13,Köln,Bekleidung,Handschuhe,1,29.90,11.50
B100332,2025-03-13,München,Zubehör,Lichtset LED,3,113.71,50.40
B100333,2025-03-13,München,werkstatt,Inspektion E-Bike,1,141.55,88.00
B100334,2025-03-13,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100335,2025-03-13,München,Bekleidung,Regenjacke,1,122.55,61.00
B100336,2025-03-14,Hamburg,Zubehör,Lichtset LED,2,79.80,33.60
B100337,2025-03-14,Köln,Werkstatt,Inspektion Standard,1,84.55,52.00
